iter	Passed	Remaining
402	9246	13697
403	9267	13671
404	9290	13649
405	9313	13625
406	9335	13602
407	9353	13572
408	9375	13546
409	9398	13524
410	9420	13499
411	9442	13476
412	9465	13454
413	9486	13428
414	9509	13405
415	9530	13379
416	9555	13359
417	9576	13333
418	9597	13308
419	9620	13285
420	9643	13262
421	9664	13237
422	9687	13215
423	9705	13185
424	9724	13156
425	9747	13133
426	9771	13112
427	9792	13087
428	9815	13064
429	9839	13042
430	9861	13018
431	9885	12997
432	9907	12973
433	9932	12952
434	9954	12929
435	9974	12902
436	10017	12905
437	10042	12885
438	10066	12864
439	10084	12835
440	10107	12811
441	10127	12785
442	10153	12766
443	10177	12744
444	10197	12717
445	10218	12693
446	10243	12672
447	10267	12650
448	10289	12627
449	10312	12604
450	10338	12585
451	10365	12566
452	10384	12539
453	10405	12514
454	10425	12488
455	10448	12465
456	10469	12439
457	10490	12414
458	10511	12388
459	10532	12364
460	10557	12343
461	10581	12321
462	10603	12298
463	10624	12273
464	10646	12249
465	10693	12253
466	10714	12228
467	10736	12204
468	10762	12185
469	10780	12156
470	10802	12132
471	10824	12108
472	10845	12083
473	10868	12060
474	10891	12038
475	10914	12015
476	10931	11985
477	10951	11959
478	10971	11933
479	10995	11911
480	11017	11887
481	11039	11864
482	11059	11838
483	11081	11813
484	11101	11788
485	11122	11763
486	11144	11739
487	11166	11715
488	11188	11691
489	11210	11667
490	11231	11643
491	11253	11619
492	11276	11596
493	11298	11573
494	11321	11550
495	11342	11525
496	11363	11500
497	11387	11478
498	11409	11455
499	11431	11431
500	11454	11408
501	11472	11380
502	11493	11356
503	11516	11333
504	11536	11308
505	11558	11284
506	11579	11259
507	11604	11239
508	11627	11215
509	11650	11193
510	11671	11168
511	11693	11145
512	11715	11121
513	11736	11097
514	11757	11072
515	11777	11047
516	11798	11022
517	11822	11000
518	11845	10978
519	11868	10955
520	11893	10934
521	11915	10911
522	11936	10886
523	11959	10864
524	11983	10841
525	12003	10816
526	12023	10791
527	12046	10768
528	12068	10745
529	12088	10720
530	12112	10698
531	12133	10673
532	12153	10648
533	12172	10622
534	12194	10599
535	12216	10575
536	12237	10550
537	12259	10527
538	12280	10503
539	12302	10479
540	12325	10456
541	12346	10432
542	12367	10408
543	12390	10386
544	12411	10361
