iter	Logloss
0	0.6481792694
1	0.6125171846
2	0.5804390381
3	0.5532172565
4	0.5203426967
5	0.4980147597
6	0.4798718823
7	0.462550205
8	0.4475005331
9	0.4331608824
10	0.4209025584
11	0.4096652507
12	0.4005021016
13	0.3871587219
14	0.3799519738
15	0.3693881995
16	0.3604934512
17	0.3526966704
18	0.3455176676
19	0.3393468792
20	0.334531326
21	0.3268118288
22	0.3135457642
23	0.3053274431
24	0.2957339911
25	0.2895363962
26	0.2870011105
27	0.2808651427
28	0.2785393352
29	0.2746218027
30	0.2706098129
31	0.2677309296
32	0.2622564592
33	0.2603553949
34	0.2580956095
35	0.2536897373
36	0.2493338491
37	0.2462038945
38	0.243271101
39	0.2415899212
40	0.239038816
41	0.236596654
42	0.2333466753
43	0.2316498708
44	0.2297014432
45	0.2285624329
46	0.2271791647
47	0.2258772981
48	0.2247997785
49	0.2233069056
50	0.2214917782
51	0.2200740309
52	0.2186049058
53	0.2173749349
54	0.2155143024
55	0.2146566407
56	0.213732581
57	0.2123071421
58	0.2111995509
59	0.2100273503
60	0.2091735296
61	0.2083704528
62	0.2060548565
63	0.2052457878
64	0.2044216007
65	0.2037144169
66	0.203126603
67	0.2025285975
68	0.2011488702
69	0.2005246997
70	0.1998875637
71	0.1980248674
72	0.1965519701
73	0.1960551279
74	0.195587397
75	0.1948200162
76	0.19441248
77	0.1938660126
78	0.1929633613
79	0.1925730868
80	0.1920785129
81	0.1914935981
82	0.190812391
83	0.1901453803
84	0.1894481328
85	0.1888239428
86	0.1877115652
87	0.1870417253
88	0.1863709079
89	0.1859067922
90	0.1853389003
91	0.1841072192
92	0.1836904632
93	0.1832673526
94	0.1824025866
95	0.1818906151
96	0.1814352459
97	0.1811597183
98	0.1804992077
99	0.1801715494
100	0.1794940632
101	0.1790807469
102	0.1787279839
103	0.1784344286
104	0.1781841711
105	0.177916733
106	0.1774367957
107	0.176330857
108	0.1751242498
109	0.17465404
110	0.1743983981
111	0.1740333056
112	0.1737783468
113	0.1728006493
114	0.1724797124
115	0.1717436696
116	0.17148579
117	0.1711862237
118	0.1708931031
119	0.170462931
120	0.1701892359
121	0.1696820633
122	0.1691463419
123	0.1688665909
124	0.1686537179
125	0.1682709263
126	0.1678400433
127	0.1675508234
128	0.1671868746
129	0.1666764049
130	0.1663448186
131	0.1661060672
132	0.1658099955
133	0.164808411
134	0.1645386919
135	0.1643554876
136	0.1640585697
137	0.1637730579
138	0.1635471612
139	0.163080533
140	0.1629082317
141	0.1624632018
142	0.1622411137
143	0.1613869624
144	0.1610938474
145	0.160935053
146	0.1602503618
147	0.1593096004
148	0.1591584361
149	0.1589102393
150	0.158644272
151	0.1584369285
152	0.1581549073
153	0.1578897972
154	0.1573650499
155	0.1572089036
156	0.157072062
157	0.1567564654
158	0.1563955647
159	0.1561973002
160	0.1559943097
161	0.1552610776
162	0.1550089473
163	0.154822358
164	0.1546126024
165	0.1543680976
166	0.154203914
167	0.1539158131
168	0.1536644309
169	0.1535070421
170	0.1529652451
171	0.152348425
172	0.152090095
173	0.1514697575
174	0.1513082166
175	0.1511265255
176	0.1509772195
177	0.1508552488
178	0.1506691045
179	0.1504840833
180	0.1503663933
181	0.1500097182
182	0.1497097751
183	0.1495655418
184	0.1493945411
185	0.1491855641
186	0.1488304529
187	0.1486441405
188	0.1484982922
189	0.1483235541
190	0.1482259696
191	0.1480062807
192	0.1477906442
193	0.1473735648
194	0.1472528708
195	0.1466963997
196	0.146560547
197	0.1464093423
198	0.1462473101
199	0.1461199737
200	0.1457563724
201	0.1454849642
202	0.145349839
203	0.1451825062
204	0.1450275093
205	0.1446426812
206	0.1440371188
207	0.14388903
208	0.143691799
209	0.1435751405
210	0.1434953172
211	0.1433565243
212	0.1428522427
213	0.142345582
214	0.1422332253
215	0.1416902697
216	0.1415381011
217	0.1414161371
218	0.1412742858
219	0.1411411757
220	0.1409516122
221	0.1405026359
222	0.1403505471
223	0.1402374737
224	0.1400049177
225	0.1398366319
226	0.1397443944
227	0.1395357981
228	0.1393475671
229	0.139147656
230	0.1388494706
231	0.1387439481
232	0.1386434299
233	0.1384362377
234	0.1383579707
235	0.1380744383
236	0.1379524739
237	0.1376906632
238	0.1374721812
239	0.1373069552
240	0.1372094128
241	0.1370467703
242	0.1369156382
243	0.136801109
244	0.1367179958
245	0.1365843537
246	0.1364480456
247	0.1363416529
248	0.1362011413
249	0.1360846764
250	0.1359694937
251	0.135890196
252	0.1357970791
253	0.1357101318
254	0.1356064321
255	0.1354968841
256	0.135340027
257	0.1352177634
258	0.1349848712
259	0.1348754259
260	0.1347966504
261	0.1347180679
262	0.1346299145
263	0.1344859013
264	0.1341642393
265	0.1340173781
266	0.1338998456
267	0.1338144174
268	0.1337288378
269	0.1336557711
270	0.1335662052
271	0.1334543405
272	0.1334522371
273	0.1333387119
274	0.1332563877
275	0.1331339501
276	0.1330038445
277	0.1328997621
278	0.1327870805
